update sp0_mean_age sp0_mean_fitness sp0_max_fitness sp1_mean_age sp1_mean_fitness sp1_max_fitness sp2_mean_age sp2_mean_fitness sp2_max_fitness sp3_mean_age sp3_mean_fitness sp3_max_fitness sp4_mean_age sp4_mean_fitness sp4_max_fitness sp5_mean_age sp5_mean_fitness sp5_max_fitness sp6_mean_age sp6_mean_fitness sp6_max_fitness sp7_mean_age sp7_mean_fitness sp7_max_fitness sp8_mean_age sp8_mean_fitness sp8_max_fitness sp9_mean_age sp9_mean_fitness sp9_max_fitness
0 0.0000 -89.5734 1979.2677 0.0000 -17.8009 1576.8592 0.0000 69.1630 2403.7667 0.0000 -231.3157 1436.9847 0.0000 -0.6353 1780.7556 0.0000 -136.9241 1647.0272 0.0000 -156.8253 1936.7060 0.0000 -93.6299 1769.5503 0.0000 -68.1534 1847.9637 0.0000 -266.8780 1523.2369
1 0.5875 -48.1505 2103.2723 1.3500 -298.6982 1576.8592 1.3750 -227.3986 1666.1204 1.3500 -558.8283 1436.9847 1.2250 -181.1520 1780.7556 1.2750 -284.9486 1647.0272 1.3000 -454.5448 1936.7060 1.2750 -282.0920 1769.5503 1.3000 -298.2011 1847.9637 1.3750 -512.9259 1523.2369
2 0.9500 -199.4022 2103.2723 3.1750 -489.6844 1459.7292 3.4000 -483.0366 1666.1204 3.2750 -812.1257 1436.9847 2.8000 -382.9892 1780.7556 3.2250 -666.7819 1647.0272 2.9000 -578.3559 1936.7060 3.1250 -609.0548 1769.5503 3.0500 -488.4197 1847.9637 3.4750 -731.4162 616.9843
3 1.1125 -412.3898 1436.6991 5.1500 -630.6663 1459.7292 5.5500 -555.8074 1666.1204 5.8500 -1085.1809 1436.9847 4.8750 -579.3281 1780.7556 5.7250 -948.3317 1647.0272 5.2250 -802.7843 1936.7060 5.9250 -884.8900 1769.5503 5.9250 -633.4705 1847.9637 6.3250 -944.4074 616.9843
4 1.4177 -265.2046 1982.2485 4.8636 -267.3580 1356.0129 8.0000 -591.6371 1666.1204 8.6250 -1248.2400 1436.9847 8.2250 -799.7664 1780.7556 8.7250 -1030.6561 1647.0272 8.6500 -976.1576 1421.5443 9.3000 -1123.2109 1769.5503 9.7500 -788.8688 1847.9637 10.3250 -1111.1056 616.9843
5 0.9028 -55.1733 2006.6964 7.0312 -965.8298 1356.0129 7.0800 -188.3426 1335.9470 13.2750 -1674.9897 1436.9847 12.2500 -1061.6993 1780.7556 13.9500 -1390.8825 829.8756 15.2250 -1223.2568 1421.5443 13.9500 -1438.4752 1769.5503 13.3250 -993.6565 1732.6698 15.9500 -1316.6291 616.9843
6 0.8571 -244.1704 1619.2068 6.6667 -465.7008 1356.0129 9.6750 -881.3636 1335.9470 14.6538 -1520.7366 1436.9847 14.8000 -1121.4652 1780.7556 18.1500 -1663.2518 829.8756 20.4750 -1301.6675 1421.5443 18.6250 -1717.9480 1769.5503 17.4750 -1193.9084 1732.6698 21.9000 -1561.6472 273.9193
7 1.2500 -48.6170 2263.3261 7.4783 -492.4060 1356.0129 10.0286 -666.3896 1335.9470 16.1667 -1799.6643 1436.9847 19.2000 -1269.9025 1780.7556 23.1250 -1763.5813 829.8756 28.2000 -1576.5184 1409.3218 22.7250 -1904.0300 1769.5503 21.5250 -1367.1161 1443.4657 26.5250 -1818.0888 273.9193
8 1.1216 13.8598 2019.1854 8.3462 -592.7668 1356.0129 10.8205 -804.4188 1335.9470 16.7419 -1583.1077 1436.9847 24.8750 -1562.2959 1780.7556 31.7000 -1842.8884 829.8756 36.2750 -1844.7247 1409.3218 26.8750 -2168.8523 1769.5503 26.6000 -1517.3401 1443.4657 32.9000 -1935.3954 273.9193
9 0.9863 -46.9144 2019.1854 8.3478 -357.6933 1356.0129 11.2750 -917.4222 1163.7128 16.2812 -1639.9074 1436.9847 23.4872 -1600.3378 1780.7556 33.9250 -2062.3973 829.8756 42.5250 -2016.9215 1409.3218 30.9500 -2356.4923 296.3275 30.4750 -1623.8702 1443.4657 42.6750 -2063.9341 273.9193
