update instantaneous total
0 0 0
1 44 44
2 4 48
3 4 52
4 4 56
5 4 60
6 4 64
7 4 68
8 4 72
9 4 76
10 4 80
11 4 84
12 4 88
13 4 92
14 4 96
15 4 100116 4 101117 4 118118 4 19 119 4220 220 2121 22122 22 2223 023 224 1 24 25 0 92526 0 98227 1 99
28 1 100229 1 103030 0 131 31 0 32 032 133 0 33 34 0 63435 0 63336 0 63
37 0 63
38 0 63
39 0 63
40 0 63
41 0 63
42 0 63
43 0 63
44 0 63
45 0 63
46 0 63
47 0 63
48 0 63
49 0 63
50 1 64
51 0 64
52 0 64
53 0 64
54 0 64
55 0 64
56 0 64
57 0 64
58 0 64
59 0 64
60 0 64
61 0 64
62 0 64
63 0 64
64 0 64
65 0 64
66 0 64
67 0 64
68 0 64
69 0 64
70 0 64
71 0 64
72 0 64
73 0 64
74 0 64
75 0 64
76 0 64
77 0 64
78 0 64
79 0 64
80 0 64
81 0 64
82 0 64
83 0 64
84 0 64
85 0 64
86 0 64
87 0 64
88 0 64
89 0 64
90 0 64
91 0 64
92 0 64
93 0 64
94 0 64
95 0 64
96 0 64
97 0 64
98 0 64
99 0 64
100 0 64
93 0 141
94 0 141
95 1 142
96 1 143
97 0 143
98 0 143
99 1 144
100 1 1451001100 4 445
4
84 47 3962
85 47 4009
86 48 4057
87 47 4104
88 47 4151
89 47 4198
90 48 4246
91 47 4293
92 47 4340
93 47 4387
94 47 4434
95 47 4481
96 47 4528
97 47 4575
98 47 4622
99 47 4669
100 47 4716
