update mean_generation mean_fitness max_fitness
0 0.0000 -99.2573 2403.7667
1 0.0909 -290.4628 2103.2723
2 0.1773 -512.7881 2103.2723
3 0.2682 -717.2406 1936.7060
4 0.3420 -792.4436 1982.2485
5 0.4792 -986.7265 2006.6964
6 0.6437 -1098.6908 1780.7556
7 0.8039 -1177.6906 2263.3261
8 1.0098 -1291.9387 2019.1854
9 1.1302 -1396.0280 2019.1854
10 1.3079 -1559.8951 2052.8644
11 1.4472 -1643.0916 2857.2944
12 1.5573 -1742.0188 2857.2944
13 1.6957 -1806.0291 2857.2944
14 1.7346 -1860.9361 2167.0452
15 1.8474 -1927.5670 2167.0452
16 2.0958 -1980.8105 1601.0080
17 2.2111 -2002.9905 1652.9747
18 2.3840 -2101.8502 2220.9951
19 2.4659 -2126.5774 2220.9951
20 2.6582 -2213.3231 2751.3934
21 2.8138 -2288.4031 2751.3934
22 2.9713 -2307.8790 3093.0031
23 3.0311 -2327.3872 2006.3408
24 3.0751 -2336.9976 2382.0420
25 3.0317 -2281.8807 2237.7695
26 3.0215 -2290.7595 2316.6963
27 3.0061 -2289.0682 2316.6963
28 2.9940 -2303.3056 2316.6963
29 3.1324 -2371.4618 2074.0626
30 3.0426 -2338.3230 1386.5946
31 3.1257 -2375.2159 1799.1317
32 3.0809 -2375.7918 2246.3704
33 3.1637 -2306.4754 1606.1600
34 3.2326 -2388.2241 1871.9832
35 3.1183 -2326.2011 2529.2404
36 3.0167 -2370.5310 1807.5118
37 3.0301 -2413.9914 2241.2497
38 3.0836 -2418.0924 2241.2497
39 3.1781 -2472.3874 1789.2259
40 3.2803 -2537.0967 1789.2259
41 3.3459 -2589.8828 1823.5819
42 3.3823 -2446.2062 2070.1541
43 3.4971 -2479.1870 2070.1541
44 3.5303 -2492.1521 1802.0925
45 3.5909 -2551.8598 1802.0925
46 3.6639 -2524.4540 2104.6513
47 3.7609 -2593.3165 2235.9437
48 3.8038 -2665.8531 2104.6513
49 3.6040 -2490.5828 2344.5504
50 3.7302 -2551.3380 1652.4663
51 3.8421 -2605.6939 1740.9759
52 3.7739 -2588.9985 2129.6007
53 3.8860 -2537.9742 2129.6007
54 3.7580 -2598.6845 1478.1622
55 3.7386 -2647.4749 1883.6250
56 3.6686 -2595.3746 1883.6250
57 3.8380 -2659.0347 1883.6250
58 3.8478 -2621.5627 2593.3770
59 3.9344 -2670.3102 1840.8351
60 4.0413 -2661.2189 1967.3979
61 3.9972 -2705.9639 1952.4219
62 4.0740 -2695.7736 2220.2924
63 4.1384 -2655.4693 2024.0574
64 4.1837 -2680.3599 2156.6945
65 4.1433 -2650.1127 2308.8760
66 3.9407 -2612.2988 1622.7210
67 3.9913 -2577.5590 1754.6834
68 4.0465 -2612.4656 2089.9901
69 3.9882 -2569.1646 1777.1071
70 4.0348 -2593.8751 1777.1071
71 4.0531 -2538.1038 2059.3787
72 4.0678 -2589.1407 2400.7084
73 4.3285 -2664.0343 1458.1230
74 4.1082 -2606.6624 2134.4958
75 4.1789 -2553.0157 2134.4958
76 4.2338 -2590.0581 2165.4922
77 4.3883 -2599.1278 2165.4922
78 4.4972 -2607.6506 2750.8771
79 4.5304 -2650.0884 1752.4349
80 4.5861 -2642.6600 1752.4349
81 4.5630 -2662.8041 1752.4349
82 4.5918 -2679.9648 2290.1378
83 4.4615 -2659.0899 2728.7079
84 4.5127 -2645.7642 2728.7079
85 4.4737 -2609.6934 2039.5364
86 4.5750 -2645.9155 1800.0844
87 4.7612 -2664.9994 2283.3284
88 4.8620 -2715.3850 2465.0579
89 4.8895 -2750.7342 2134.0743
90 4.9691 -2813.1884 1925.9612
91 4.8699 -2761.8973 2444.4544
92 4.9122 -2799.5068 1790.9030
93 4.9716 -2854.4128 1828.8560
94 5.0716 -2843.7983 2132.7104
95 5.0593 -2863.1025 2132.7104
96 4.8771 -2804.8352 2203.6544
97 4.7727 -2647.3639 2621.5387
98 4.7733 -2676.8200 2132.7104
99 4.8237 -2656.9704 2606.8459
100 4.9064 -2703.1968 2606.8459
