update instantaneous total
0 400 400
1 80 480
2 84 564
3 84 648
4 84 732
5 81 813
6 80 893
7 79 972
8 80 1052
9 79 1131
10 79 1210
11 79 1289
12 77 1366
13 77 1443
14 77 1520
15 75 1595
16 74 1669
17 73 1742
18 73 1815
19 72 1887
20 73 1960
21 74 2034
22 72 2106
23 74 2180
24 74 2254
25 72 2326
26 68 2394
27 69 2463
28 70 2533
29 70 2603
30 71 2674
31 70 2744
32 72 2816
33 73 2889
34 72 2961
35 72 3033
36 72 3105
37 73 3178
38 74 3252
39 75 3327
40 72 3399
41 74 3473
42 74 3547
43 75 3622
44 72 3694
45 72 3766
46 71 3837
47 73 3910
48 74 3984
49 74 4058
50 72 4130
51 72 4202
52 71 4273
53 73 4346
54 73 4419
55 70 4489
56 71 4560
57 73 4633
58 72 4705
59 74 4779
60 72 4851
61 72 4923
62 73 4996
63 74 5070
64 71 5141
65 71 5212
66 72 5284
67 70 5354
68 72 5426
69 72 5498
70 71 5569
71 71 5640
72 72 5712
73 72 5784
74 71 5855
75 70 5925
76 71 5996
77 71 6067
78 71 6138
79 71 6209
80 72 6281
81 73 6354
82 72 6426
83 74 6500
84 73 6573
85 72 6645
86 73 6718
87 72 6790
88 72 6862
89 73 6935
90 75 7010
91 73 7083
92 72 7155
93 72 7227
94 73 7300
95 71 7371
96 71 7442
97 71 7513
98 70 7583
99 70 7653
100 70 7723
