update mean_generation_sp0 mean_fitness_sp0 max_fitness_sp0 mean_generation_sp1 mean_fitness_sp1 max_fitness_sp1 mean_generation_sp2 mean_fitness_sp2 max_fitness_sp2 mean_generation_sp3 mean_fitness_sp3 max_fitness_sp3 mean_generation_sp4 mean_fitness_sp4 max_fitness_sp4 mean_generation_sp5 mean_fitness_sp5 max_fitness_sp5 mean_generation_sp6 mean_fitness_sp6 max_fitness_sp6 mean_generation_sp7 mean_fitness_sp7 max_fitness_sp7 mean_generation_sp8 mean_fitness_sp8 max_fitness_sp8 mean_generation_sp9 mean_fitness_sp9 max_fitness_sp9
0 0.0000 -89.5734 1979.2677 0.0000 -17.8009 1576.8592 0.0000 69.1630 2403.7667 0.0000 -231.3157 1436.9847 0.0000 -0.6353 1780.7556 0.0000 -136.9241 1647.0272 0.0000 -156.8253 1936.7060 0.0000 -93.6299 1769.5503 0.0000 -68.1534 1847.9637 0.0000 -266.8780 1523.2369
1 0.0375 -48.1505 2103.2723 0.1000 -298.6982 1576.8592 0.1250 -227.3986 1666.1204 0.1500 -558.8283 1436.9847 0.0750 -181.1520 1780.7556 0.0750 -284.9486 1647.0272 0.1000 -454.5448 1936.7060 0.0750 -282.0920 1769.5503 0.1000 -298.2011 1847.9637 0.1250 -512.9259 1523.2369
2 0.0875 -199.4022 2103.2723 0.3000 -489.6844 1459.7292 0.2000 -483.0366 1666.1204 0.2750 -812.1257 1436.9847 0.1000 -382.9892 1780.7556 0.1250 -666.7819 1647.0272 0.1500 -578.3559 1936.7060 0.2000 -609.0548 1769.5503 0.1500 -488.4197 1847.9637 0.2750 -731.4162 616.9843
3 0.1375 -412.3898 1436.6991 0.3750 -630.6663 1459.7292 0.3250 -555.8074 1666.1204 0.4000 -1085.1809 1436.9847 0.2000 -579.3281 1780.7556 0.2250 -948.3317 1647.0272 0.1500 -802.7843 1936.7060 0.3250 -884.8900 1769.5503 0.2500 -633.4705 1847.9637 0.4250 -944.4074 616.9843
4 0.1013 -265.2046 1982.2485 0.2727 -267.3580 1356.0129 0.4250 -591.6371 1666.1204 0.5500 -1248.2400 1436.9847 0.3750 -799.7664 1780.7556 0.3750 -1030.6561 1647.0272 0.1500 -976.1576 1421.5443 0.4750 -1123.2109 1769.5503 0.4000 -788.8688 1847.9637 0.5000 -1111.1056 616.9843
5 0.0556 -55.1733 2006.6964 0.3750 -965.8298 1356.0129 0.4000 -188.3426 1335.9470 0.7500 -1674.9897 1436.9847 0.6750 -1061.6993 1780.7556 0.5250 -1390.8825 829.8756 0.2250 -1223.2568 1421.5443 0.6250 -1438.4752 1769.5503 0.6500 -993.6565 1732.6698 0.8000 -1316.6291 616.9843
6 0.0390 -244.1704 1619.2068 0.2917 -465.7008 1356.0129 0.6000 -881.3636 1335.9470 0.8462 -1520.7366 1436.9847 1.1250 -1121.4652 1780.7556 0.8000 -1663.2518 829.8756 0.3000 -1301.6675 1421.5443 0.9250 -1717.9480 1769.5503 0.9500 -1193.9084 1732.6698 1.0500 -1561.6472 273.9193
7 0.0750 -48.6170 2263.3261 0.3043 -492.4060 1356.0129 0.7143 -666.3896 1335.9470 0.8000 -1799.6643 1436.9847 1.4000 -1269.9025 1780.7556 1.0750 -1763.5813 829.8756 0.4500 -1576.5184 1409.3218 1.2000 -1904.0300 1769.5503 1.2250 -1367.1161 1443.4657 1.3000 -1818.0888 273.9193
8 0.0676 13.8598 2019.1854 0.2692 -592.7668 1356.0129 0.9744 -804.4188 1335.9470 1.0000 -1583.1077 1436.9847 1.9500 -1562.2959 1780.7556 1.4250 -1842.8884 829.8756 0.5750 -1844.7247 1409.3218 1.5500 -2168.8523 1769.5503 1.5500 -1517.3401 1443.4657 1.2750 -1935.3954 273.9193
9 0.0685 -46.9144 2019.1854 0.1739 -357.6933 1356.0129 1.0500 -917.4222 1163.7128 0.9688 -1639.9074 1436.9847 1.7692 -1600.3378 1780.7556 1.9750 -2062.3973 829.8756 0.7500 -2016.9215 1409.3218 1.8000 -2356.4923 296.3275 1.8500 -1623.8702 1443.4657 1.3500 -2063.9341 273.9193
